Año,CFCs (Ton)
2000,3059.5
2001,2223.9
2002,1946.7
2003,1983.2
2004,3208.4
2005,1604
2006,-441.3
2007,-480.6
2008,-130.4
2009,-101.7
2010,-240.8
2011,-8
2012,0
2013,0
2014,0
2015,-39.8
2016,-11.6
2017,0
2018,0
2019,0
2020,0
